MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D
166.25,1.1,166.0564695,166.0564695,71.0,147.0,0.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.7,4.8,2.11,0.74,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.4,2.0,10.0
355.9,2.6,355.14514,355.14514,48.4,406.0,0.0,2.0,4.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276.4,13.01,3.5,1.58,8.0,1.0,2.0,0.0,2.0,3.0,0.0,0.8,6.0,10.0
225.16,-0.1,225.03857033,225.03857033,101.0,326.0,0.0,0.0,6.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,158.7,5.08,1.93,1.43,8.0,5.0,0.0,1.0,0.0,2.0,0.0,0.6,3.8,10.0
464.9,0.7,464.0986433,464.0986433,182.0,961.0,0.0,6.0,9.0,2.0,32.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,323.1,11.83,2.8,2.2,16.0,5.0,6.0,0.0,1.0,4.0,0.0,0.8,2.6,4.0
315.67,4.0,315.0273907,315.0273907,38.3,519.0,0.0,1.0,5.0,1.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,218.7,6.34,3.72,1.61,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,2.2,1.0
214.24,-1.0,214.04121336,214.04121336,97.6,299.0,0.0,2.0,4.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.4,5.82,1.93,1.26,7.0,3.0,2.0,0.0,1.0,1.0,0.0,0.6,3.0,10.0
411.8,6.4,410.017803,410.017803,43.1,383.0,0.0,0.0,2.0,7.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,299.8,11.74,5.46,1.42,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.8,7.0,10.0
295.29,2.8,295.09569129,295.09569129,84.1,423.0,0.0,2.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,226.9,16.74,1.69,1.14,7.0,2.0,2.0,0.0,0.0,3.0,0.0,0.8,5.0,8.0
224.21,-0.8,224.07970687,224.07970687,78.9,388.0,0.0,2.0,4.0,2.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,165.0,5.9,2.5,0.91,8.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,2.6,8.0
280.31,0.7,280.06301143,280.06301143,116.0,376.0,0.0,2.0,7.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,203.3,4.98,3.02,1.85,8.0,3.0,2.0,0.0,1.0,2.0,0.0,0.6,4.0,10.0
453.5,-0.7,453.04129018,453.04129018,238.0,861.0,0.0,4.0,12.0,8.0,30.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,318.2,16.39,3.14,1.83,16.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,9.6,10.0
467.5,-6.2,467.25912777,467.25912777,268.0,609.0,0.0,10.0,14.0,6.0,32.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,328.6,8.19,4.85,2.26,27.0,9.0,10.0,0.0,5.0,3.0,0.0,1.0,9.6,10.0
